 Date , Chloride concentration  in milligrams per liter 
 2009-01-23 ,8900
 2009-02-18 ,9000
 2009-03-16 ,9000
 2009-04-14 ,9400
 2009-04-28 ,8600
 2009-05-13 ,8600
 2009-06-17 ,8600
 2009-07-13 ,8000
 2009-08-05 ,8550
 2009-08-20 ,8910
 2009-09-04 ,8400
 2009-09-18 ,8300
 2009-10-07 ,8700
 2009-11-06 ,8700
 2009-12-08 ,8700
 2010-01-04 ,8400
 2010-02-08 ,8500
 2010-03-02 ,8650
 2010-04-06 ,8700
 2010-05-24 ,9100
 2010-06-09 ,9100
 2010-07-20 ,9100
 2010-08-18 ,9200
 2010-09-14 ,8800
 2010-09-22 ,9820
 2010-10-06 ,8800
 2010-11-19 ,8800
 2010-12-15 ,8600
 2011-01-19 ,9500
 2011-02-25 ,9600
 2011-03-24 ,9700
 2011-04-04 ,9700
 2011-05-19 ,9800
 2011-06-16 ,9700
 2011-07-11 ,9700
 2011-08-15 ,9600
 2011-09-14 ,9600
 2011-10-20 ,9600
 2011-11-23 ,9500
 2011-12-22 ,9700
 2012-01-18 ,9900
 2012-02-24 ,9900
 2012-03-14 ,9800
 2012-04-16 ,10000
 2012-05-16 ,10000
 2012-06-21 ,10000
 2012-07-11 ,10000
 2012-08-24 ,10000
 2012-09-27 ,10000
 2012-10-29 ,9600
 2012-11-21 ,10000
 2012-12-12 ,10000
 2013-01-15 ,10000
 2013-02-13 ,11000
 2013-03-14 ,11000
 2013-04-04 ,11000
 2013-05-20 ,10000
 2013-06-14 ,11000
 2013-07-03 ,10000
 2013-08-14 ,10000
 2013-09-12 ,10000
 2013-10-21 ,11000
 2013-12-02 ,11000
 2013-12-11 ,11000
 2014-01-27 ,11000
 2014-02-26 ,11000
 2014-03-13 ,10000
 2014-04-03 ,11000
 2014-05-21 ,9100
 2014-06-24 ,11000
 2014-07-14 ,11000
 2014-08-19 ,11000
 2014-09-24 ,11000
 2014-10-27 ,11000
 2014-11-19 ,11000
 2014-12-16 ,11000
 2015-01-21 ,11000
 2015-02-03 ,11200
 2015-03-09 ,11100
 2015-04-06 ,11100
 2015-05-06 ,10900
 2015-06-11 ,10900
 2015-07-22 ,11300
 2015-10-13 ,11300
 2016-01-20 ,10900
 2016-04-28 ,10700
 2016-07-13 ,10500
 2016-10-27 ,10900
 2017-01-18 ,11000
 2017-04-13 ,11300
 2017-05-18 ,11000
 2017-07-25 ,10900
 2017-10-24 ,11500
 2018-01-10 ,11500
 2018-04-11 ,11200
 2018-07-19 ,11600
 2018-10-19 ,11700
 2019-01-15 ,10800
 2019-02-12 ,12000
 2019-03-06 ,10900
 2019-04-25 ,11800
 2019-05-23 ,11300
 2019-06-26 ,11400
 2019-07-25 ,12000
 2019-08-12 ,11400
 2019-09-18 ,11400
 2019-10-16 ,11200
 2019-11-19 ,12000
 2019-12-09 ,11400
 2020-01-08 ,11600
 2020-04-02 ,11700
